,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471,472,473,474,475,476,477,478,479,480,481,482,483,484,485,486,487,488,489,490,491,492,493,494,495,496,497,498,499,500,501,502,503,504,505,506,507,508,509,510,511,512,513,514,515,516,517,518,519,520,521,522,523,524,525,526,527,528,529,530,531,532,533,534,535,536,537,538,539,540,541,542,543,544,545,546,547,548,549,550,551,552,553,554,555,556,557,558,559,560,561,562,563,564,565,566,567,568,569,570,571,572,573,574,575,576
OP0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
N2,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0
N1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0
N0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
Inv,x,x,x,1,0,x,x,x,x,x,x,x,1,x,x,x,1,x,x,x,1,x,x,x,1,x,x,x,1,x,x,x,1,x,x,x,1,x,x,x,1,x,x,x,1,x,x,x,1,x,x,x,1,x,x,x,1,x,x,x,1,x,x,x,x,1,x,x,x,x,1,x,x,x,x,1,x,x,x,x,1,x,x,x,1,x,x,x,1,x,x,x,1,x,x,x,1,x,x,x,x,1,x,x,x,x,1,x,x,x,x,1,x,x,x,x,x,0,x,x,x,0,x,x,x,0,x,x,x,0,x,x,x,0,x,x,x,0,x,x,x,0,x,x,x,0,x,x,x,0,x,x,x,0,x,x,x,0,x,x,x,0,x,x,x,1,x,x,x,x,1,x,x,x,x,1,x,x,x,x,1,x,x,x,x,0,x,x,x,0,x,x,x,0,x,x,x,0,x,x,x,1,x,x,x,x,1,x,x,x,x,1,x,x,x,x,1,x,x,x,1,x,x,x,1,x,x,x,1,x,x,x,1,x,x,x,1,x,1,x,x,x,1,x,1,x,x,x,x,0,x,x,x,0,x,x,x,1,x,0,x,x,x,1,x,0,x,x,1,x,x,x,1,x,x,x,1,x,x,x,1,x,x,x,1,x,1,x,x,x,1,x,1,x,x,x,x,0,x,x,x,0,x,x,x,1,x,0,x,x,x,1,x,0,x,x,1,x,x,x,x,1,x,x,x,x,1,x,x,x,x,1,x,x,x,x,1,x,1,x,x,x,x,1,x,1,x,x,x,x,x,1,x,x,x,x,1,x,x,x,x,1,x,1,x,x,x,x,1,x,1,x,x,x,1,x,x,x,1,x,x,x,1,x,x,x,1,x,x,x,1,x,1,x,x,x,1,x,1,x,x,x,x,0,x,x,x,0,x,x,x,1,x,0,x,x,x,1,x,0,x,x,1,x,x,x,1,x,x,x,1,x,x,x,1,x,x,x,1,x,1,x,x,x,1,x,1,x,x,x,x,0,x,x,x,0,x,x,x,1,x,0,x,x,x,1,x,x,x,x,1,x,x,x,x,1,x,x,x,x,1,x,x,x,x,1,x,x,x,x,1,x,1,x,x,x,x,1,x,1,x,x,x,x,x,1,x,x,x,x,1,x,x,x,x,1,x,1,x,x,x,x,1,x,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,1,0,x,x,1,0,x,x,x,1,x,x,x,1,x,x,1,0,x,x,1,0,x,x,x,1,x,x,x,1,x
S1,x,x,x,0,0,x,x,x,x,x,x,x,0,x,x,x,0,x,x,x,0,x,x,x,0,x,x,x,0,x,x,x,0,x,x,x,0,x,x,x,0,x,x,x,0,x,x,x,0,x,x,x,0,x,x,x,0,x,x,x,0,x,x,x,x,0,x,x,x,x,0,x,x,x,x,0,x,x,x,x,0,x,x,x,0,x,x,x,0,x,x,x,0,x,x,x,0,x,x,x,x,0,x,x,x,x,0,x,x,x,x,0,x,x,x,x,x,0,x,x,x,0,x,x,x,0,x,x,x,0,x,x,x,0,x,x,x,0,x,x,x,0,x,x,x,0,x,x,x,0,x,x,x,0,x,x,x,0,x,x,x,0,x,x,x,0,x,x,x,x,0,x,x,x,x,0,x,x,x,x,0,x,x,x,x,0,x,x,x,0,x,x,x,0,x,x,x,0,x,x,x,0,x,x,x,x,0,x,x,x,x,0,x,x,x,x,0,x,x,x,0,x,x,x,0,x,x,x,0,x,x,x,0,x,x,x,0,x,0,x,x,x,0,x,0,x,x,x,x,0,x,x,x,0,x,x,x,0,x,0,x,x,x,0,x,0,x,x,0,x,x,x,0,x,x,x,0,x,x,x,0,x,x,x,0,x,0,x,x,x,0,x,0,x,x,x,x,0,x,x,x,0,x,x,x,0,x,0,x,x,x,0,x,0,x,x,0,x,x,x,x,0,x,x,x,x,0,x,x,x,x,0,x,x,x,x,0,x,0,x,x,x,x,0,x,0,x,x,x,x,x,0,x,x,x,x,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0,x,x,x,0,x,x,x,0,x,x,x,0,x,x,x,0,x,0,x,x,x,0,x,0,x,x,x,x,0,x,x,x,0,x,x,x,0,x,0,x,x,x,0,x,0,x,x,0,x,x,x,0,x,x,x,0,x,x,x,0,x,x,x,0,x,0,x,x,x,0,x,0,x,x,x,x,0,x,x,x,0,x,x,x,0,x,0,x,x,x,0,x,x,x,x,0,x,x,x,x,0,x,x,x,x,0,x,x,x,x,0,x,x,x,x,0,x,0,x,x,x,x,0,x,0,x,x,x,x,x,0,x,x,x,x,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0,1,x,x,0,1,x,x,x,0,x,x,x,0,x,x,0,1,x,x,0,1,x,x,x,0,x,x,x,0,x
S0,x,x,x,0,1,x,x,x,x,x,x,x,0,x,x,x,0,x,x,x,0,x,x,x,0,x,x,x,0,x,x,x,0,x,x,x,0,x,x,x,0,x,x,x,0,x,x,x,0,x,x,x,0,x,x,x,0,x,x,x,0,x,x,x,x,0,x,x,x,x,0,x,x,x,x,0,x,x,x,x,0,x,x,x,0,x,x,x,0,x,x,x,0,x,x,x,0,x,x,x,x,0,x,x,x,x,0,x,x,x,x,0,x,x,x,x,x,0,x,x,x,0,x,x,x,0,x,x,x,0,x,x,x,0,x,x,x,0,x,x,x,0,x,x,x,0,x,x,x,0,x,x,x,0,x,x,x,0,x,x,x,0,x,x,x,0,x,x,x,x,0,x,x,x,x,0,x,x,x,x,0,x,x,x,x,0,x,x,x,0,x,x,x,0,x,x,x,0,x,x,x,0,x,x,x,x,0,x,x,x,x,0,x,x,x,x,0,x,x,x,0,x,x,x,0,x,x,x,0,x,x,x,0,x,x,x,0,x,0,x,x,x,0,x,0,x,x,x,x,0,x,x,x,0,x,x,x,0,x,0,x,x,x,0,x,0,x,x,0,x,x,x,0,x,x,x,0,x,x,x,0,x,x,x,0,x,0,x,x,x,0,x,0,x,x,x,x,0,x,x,x,0,x,x,x,0,x,0,x,x,x,0,x,0,x,x,0,x,x,x,x,0,x,x,x,x,0,x,x,x,x,0,x,x,x,x,0,x,0,x,x,x,x,0,x,0,x,x,x,x,x,0,x,x,x,x,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0,x,x,x,0,x,x,x,0,x,x,x,0,x,x,x,0,x,0,x,x,x,0,x,0,x,x,x,x,0,x,x,x,0,x,x,x,0,x,0,x,x,x,0,x,0,x,x,0,x,x,x,0,x,x,x,0,x,x,x,0,x,x,x,0,x,0,x,x,x,0,x,0,x,x,x,x,0,x,x,x,0,x,x,x,0,x,0,x,x,x,0,x,x,x,x,0,x,x,x,x,0,x,x,x,x,0,x,x,x,x,0,x,x,x,x,0,x,0,x,x,x,x,0,x,0,x,x,x,x,x,0,x,x,x,x,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0,0,x,x,0,0,x,x,x,0,x,x,x,0,x,x,0,0,x,x,0,0,x,x,x,0,x,x,x,0,x
CR(decimal),x,x,x,3,1,x,x,x,x,x,x,x,12,x,x,x,16,x,x,x,20,x,x,x,24,x,x,x,28,x,x,x,32,x,x,x,36,x,x,x,40,x,x,x,44,x,x,x,48,x,x,x,52,x,x,x,56,x,x,x,60,x,x,x,x,65,x,x,x,x,70,x,x,x,x,75,x,x,x,x,80,x,x,x,84,x,x,x,88,x,x,x,92,x,x,x,96,x,x,x,x,101,x,x,x,x,106,x,x,x,x,111,x,x,x,x,x,117,x,x,x,121,x,x,x,125,x,x,x,129,x,x,x,133,x,x,x,137,x,x,x,141,x,x,x,145,x,x,x,149,x,x,x,153,x,x,x,157,x,x,x,161,x,x,x,165,x,x,x,x,170,x,x,x,x,175,x,x,x,x,180,x,x,x,x,185,x,x,x,189,x,x,x,193,x,x,x,197,x,x,x,201,x,x,x,x,206,x,x,x,x,211,x,x,x,x,216,x,x,x,220,x,x,x,224,x,x,x,228,x,x,x,232,x,x,x,236,x,238,x,x,x,242,x,244,x,x,x,x,249,x,x,x,253,x,x,x,257,x,259,x,x,x,263,x,265,x,x,268,x,x,x,272,x,x,x,276,x,x,x,280,x,x,x,284,x,286,x,x,x,290,x,292,x,x,x,x,297,x,x,x,301,x,x,x,305,x,307,x,x,x,311,x,313,x,x,316,x,x,x,x,321,x,x,x,x,326,x,x,x,x,331,x,x,x,x,336,x,338,x,x,x,x,343,x,345,x,x,x,x,x,351,x,x,x,x,356,x,x,x,x,361,x,363,x,x,x,x,368,x,370,x,x,x,374,x,x,x,378,x,x,x,382,x,x,x,386,x,x,x,390,x,392,x,x,x,396,x,398,x,x,x,x,403,x,x,x,407,x,x,x,411,x,413,x,x,x,417,x,419,x,x,422,x,x,x,426,x,x,x,430,x,x,x,434,x,x,x,438,x,440,x,x,x,444,x,446,x,x,x,x,451,x,x,x,455,x,x,x,459,x,461,x,x,x,465,x,467,x,x,470,x,x,x,x,475,x,x,x,x,480,x,x,x,x,485,x,x,x,x,490,x,492,x,x,x,x,497,x,499,x,x,x,x,x,505,x,x,x,x,510,x,x,x,x,515,x,517,x,x,x,x,522,x,524,x,x,x,x,x,x,x,x,x,x,x,x,x,576,x,x,x,x,x,x,x,546,544,x,x,550,548,x,x,x,552,x,x,x,556,x,x,562,560,x,x,566,564,x,x,x,568,x,x,x,572,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Calc.,read,wair for MOC,Load into register,,,Calc.,read,wair for MOC,Load into register,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Calc.,read,wair for MOC,Load into register,,,Calc.,read,wair for MOC,Load into register,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Reset State,Load PC into Memory,Increment PC,Wait for MOC,Check Condition,Add/Sub(R-R),Add/Sub(Shift),Add/Sub(Immediate),CMP (R-R),MOV(R-R),Calc. & Load Address,Begin Byte Read,Wait for MOC,Load Byte into Target Register,Calc. & Load Address,Begin Word Read,Wait for MOC,Load Word into Target Register,Calc. & Load Address,Begin Byte Read,Wait for MOC,Load Byte into Target Register,Calc. & Load Address,Begin Word Read,Wait for MOC,Load Word into Target Register,,,,,,,,,,,,,,,,,Calc. & Load Address,Begin Byte Read,Wait for MOC,Load Byte into Target Register,Calc. & Load Address,Begin Word Read,Wait for MOC,Load Word into Target Register,Calc. & Load Address,Begin Byte Read,Wait for MOC,Load Byte into Target Register,Calc. & Load Address,Begin Word Read,Wait for MOC,Load Word into Target Register,,,,,,,,,,,,,,,,,,,,,Calc. & Load Address,Begin Byte Read,Wait for MOC,Load Byte into Target Register,Calc. & Load Address,Begin Word Read,Wait for MOC,Load Word into Target Register,Calc. & Load Address,Begin Byte Read,Wait for MOC,Load Byte into Target Register,Calc. & Load Address,Begin Word Read,Wait for MOC,Load Word into Target Register,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Calc.,Read,Wait for MOC,Load Byte into Register,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Store doubleword w/ immediate offset substract post-indexed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Calc.,Read,Wait for MOC,Load Byte into Register,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CMP(shift),CMP(Immediate),TST(R-R),TST(shift),TST(Immediate),TEQ(R-R),TEQ(shift),TEQ(Immediate),CMN(R-R),CMN(shift),CMN(Immediate),BEQ,BAL,MOV(Immediate),MOV(Shift),Add/Sub(R-R)S,Add/Sub(Shift)S,Add/Sub(Immediate)S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
